key	value
ITEM_NUTSO_TOP_NAME	Utsonay Optay
ITEM_NUTSO_TOP_DESCRIPTION	Ommoncay othingclay ornway byyay Angchay.
ITEM_SAGECLOTH_TOP_NAME	Ageclothsay Optay
ITEM_SAGECLOTH_TOP_DESCRIPTION	Ommoncay othingclay ornway byyay Uboldskay.
ITEM_SILKEN_TOP_NAME	Ilkensay Optay
ITEM_SILKEN_TOP_DESCRIPTION	Ancientyay ilksay othclay. Isthay ould'vecay eenbay aroundyay incesay ethay eryvay eginningbay ofyay imetay...
ITEM_TEST_CHESTPIECE_NAME	Esttay Estpiecechay
ITEM_TEST_CHESTPIECE_DESCRIPTION	Usedyay otay esttay exturingtay.
ITEM_VAMPIRIC_COAT_NAME	Ampiricvay Oatcay
ITEM_VAMPIRIC_COAT_DESCRIPTION	
ITEM_DUELIST_GARB_NAME	Uelistday Arbgay
ITEM_DUELIST_GARB_DESCRIPTION	
ITEM_TATTERED_BATTLEROBE_NAME	Atteredtay Attlerobebay
ITEM_TATTERED_BATTLEROBE_DESCRIPTION	
ITEM_WARRIOR_CHEST_NAME	Arriorway Estchay
ITEM_WARRIOR_CHEST_DESCRIPTION	
ITEM_SLEEPERS_ROBE_NAME	Eeper'sslay Oberay
ITEM_SLEEPERS_ROBE_DESCRIPTION	Osay iredtay...
ITEM_LORD_BREASTPLATE_NAME	Ordlay Eastplatebray
ITEM_LORD_BREASTPLATE_DESCRIPTION	Ailhay ethay Ordlay!
ITEM_REAPSOW_GARB_NAME	Eapsowray Arbgay
ITEM_REAPSOW_GARB_DESCRIPTION	Earfay ethay iddenhay.
ITEM_WITCHLOCK_ROBE_NAME	Itchlockway Oberay
ITEM_WITCHLOCK_ROBE_DESCRIPTION	Oberay ofyay ethay eliteyay occultyay.
ITEM_GOLEM_CHESTPIECE_NAME	Olemgay Estpiecechay
ITEM_GOLEM_CHESTPIECE_DESCRIPTION	
ITEM_NETHERCRYPT_TABARD_NAME	Ethercryptnay Abardtay
ITEM_NETHERCRYPT_TABARD_DESCRIPTION	
ITEM_ORNAMENTED_BATTLEROBE_NAME	Ornamentedyay Attlerobebay
ITEM_ORNAMENTED_BATTLEROBE_DESCRIPTION	
ITEM_MERCENARY_VESTMENT_NAME	Ercenarymay Estmentvay
ITEM_MERCENARY_VESTMENT_DESCRIPTION	
ITEM_MITHRIL_CHESTPIECE_NAME	Ithrilmay Estpiecechay
ITEM_MITHRIL_CHESTPIECE_DESCRIPTION	
ITEM_CARBUNCLE_ROBE_NAME	Arbunclecay Oberay
ITEM_CARBUNCLE_ROBE_DESCRIPTION	Ethay atternspay onyay ethay othclay akemay anyay audibleyay umhay ifyay ouyay istenlay oselyclay.
ITEM_FORTIFIED_VESTMENT_NAME	Ortifiedfay Estmentvay
ITEM_FORTIFIED_VESTMENT_DESCRIPTION	
ITEM_CHAINSCALE_CHEST_NAME	Ainscalechay Estchay
ITEM_CHAINSCALE_CHEST_DESCRIPTION	
ITEM_GEMVEIL_RAIMENT_NAME	Emveilgay Aimentray
ITEM_GEMVEIL_RAIMENT_DESCRIPTION	Azzlingday emsgay ickerflay onyay isthay ooselay utbay efensiveday estpiecechay.
ITEM_KING_BREASTPLATE_NAME	Ingkay Eastplatebray
ITEM_KING_BREASTPLATE_DESCRIPTION	Endbay ethay eeknay, otay ethay Ingkay!
ITEM_MONOLITH_CHESTPIECE_NAME	Onolithmay Estpiecechay
ITEM_MONOLITH_CHESTPIECE_DESCRIPTION	
ITEM_REAPER_GI_NAME	Eaperray Igay
ITEM_REAPER_GI_DESCRIPTION	Ornway byyay undeadyay assassinsyay.
ITEM_WITCHWIZARD_ROBE_NAME	Itchwizardway Oberay
ITEM_WITCHWIZARD_ROBE_DESCRIPTION	Oberay ofyay ethay igherhay eliteyay occultyay.
ITEM_SLIMECRUST_CHEST_NAME	Imecrustslay Estchay
ITEM_SLIMECRUST_CHEST_DESCRIPTION	Ackedcray andyay avagedray byyay imeslay.
ITEM_WORN_ROBE_NAME	Ornway Oberay
ITEM_WORN_ROBE_DESCRIPTION	Efinitelyday eenbay ornway anymay imestay.
ITEM_CHAINMAIL_GUARD_NAME	Ainmailchay Uardgay
ITEM_CHAINMAIL_GUARD_DESCRIPTION	
ITEM_BERSERKER_CHESTPIECE_NAME	Erserkerbay Estpiecechay
ITEM_BERSERKER_CHESTPIECE_DESCRIPTION	
ITEM_FUGUEFALL_DUSTER_NAME	Uguefallfay Usterday
ITEM_FUGUEFALL_DUSTER_DESCRIPTION	
ITEM_MAGILORD_OVERALLS_NAME	Agilordmay Overallsyay
ITEM_MAGILORD_OVERALLS_DESCRIPTION	Evoutday icmystay agessay ofyay ancientyay imestay ornway esethay inyay eremoniescay.
ITEM_JOURNEYMAN_VEST_NAME	Ourneymanjay Estvay
ITEM_JOURNEYMAN_VEST_DESCRIPTION	
ITEM_POACHER_CLOTH_NAME	Oacherpay Othclay
ITEM_POACHER_CLOTH_DESCRIPTION	Ightlyslay eiledvay.
ITEM_GHOSTLY_TABARD_NAME	Ostlyghay Abardtay
ITEM_GHOSTLY_TABARD_DESCRIPTION	
ITEM_CRYPTSINGE_CHEST_NAME	Ingecryptsay Estchay
ITEM_CRYPTSINGE_CHEST_DESCRIPTION	
ITEM_SLIMEK_CHEST_NAME	Imekslay Estchay
ITEM_SLIMEK_CHEST_DESCRIPTION	Urdystay enoughyay otay idthstandway omesay urtherfay amageday.
ITEM_IRON_CHESTPIECE_NAME	Ironyay Estpiecechay
ITEM_IRON_CHESTPIECE_DESCRIPTION	
ITEM_AERO_PANTS_NAME	Aeroyay Antspay
ITEM_AERO_PANTS_DESCRIPTION	Ommoncay othingclay ornway byyay Esbyrdlay.
ITEM_BUNHOST_LEGGINGS_NAME	Unhostbay Eggingslay
ITEM_BUNHOST_LEGGINGS_DESCRIPTION	
ITEM_LEATHER_BRITCHES_NAME	Eatherlay Itchesbray
ITEM_LEATHER_BRITCHES_DESCRIPTION	Ommoncay othingclay ornway byyay Oonspay.
ITEM_NECRO_CAUSTICS_NAME	Ecronay Austicscay
ITEM_NECRO_CAUSTICS_DESCRIPTION	Ommoncay othingclay ornway byyay Impsyay.
ITEM_NOBLE_PANTS_NAME	Oblenay Antspay
ITEM_NOBLE_PANTS_DESCRIPTION	
ITEM_NUTSO_PANTS_NAME	Utsonay Antspay
ITEM_NUTSO_PANTS_DESCRIPTION	Ommoncay othingclay ornway byyay Angschay.
ITEM_SAGECLOTH_SHORTS_NAME	Ageclothsay Ortsshay
ITEM_SAGECLOTH_SHORTS_DESCRIPTION	Ommoncay othingclay ornway byyay Uboldskay.
ITEM_SILKEN_LOINCLOTH_NAME	Ilkensay Oinclothlay
ITEM_SILKEN_LOINCLOTH_DESCRIPTION	Ancientyay oinclothlay.
ITEM_TEST_PANTS_NAME	Esttay Antspay
ITEM_TEST_PANTS_DESCRIPTION	Usedyay otay iewvay exturingtay.
ITEM_VAMPIRIC_LEGGINGS_NAME	Ampiricvay Eggingslay
ITEM_VAMPIRIC_LEGGINGS_DESCRIPTION	
ITEM_SASH_LEGGINGS_NAME	Ashsay Eggingslay
ITEM_SASH_LEGGINGS_DESCRIPTION	Ighttay.
ITEM_WARRIOR_LEGGINGS_NAME	Arriorway Eggingslay
ITEM_WARRIOR_LEGGINGS_DESCRIPTION	
ITEM_LORD_GREAVES_NAME	Ordlay Eavesgray
ITEM_LORD_GREAVES_DESCRIPTION	Ouryay antspay, iresay?
ITEM_REAPSOW_PANTS_NAME	Eapsowray Antspay
ITEM_REAPSOW_PANTS_DESCRIPTION	
ITEM_WITCHLOCK_LOINCLOTH_NAME	Itchlockway Oinclothlay
ITEM_WITCHLOCK_LOINCLOTH_DESCRIPTION	
ITEM_CHAINMAIL_LEGGINGS_NAME	Ainmailchay Eggingslay
ITEM_CHAINMAIL_LEGGINGS_DESCRIPTION	
ITEM_MERCENARY_LEGGINGS_NAME	Ercenarymay Eggingslay
ITEM_MERCENARY_LEGGINGS_DESCRIPTION	
ITEM_DARKCLOTH_PANTS_NAME	Arkclothday Antspay
ITEM_DARKCLOTH_PANTS_DESCRIPTION	
ITEM_STRIDEBOND_PANTS_NAME	Idebondstray Antspay
ITEM_STRIDEBOND_PANTS_DESCRIPTION	
ITEM_KING_GREAVES_NAME	Ingkay Eavesgray
ITEM_KING_GREAVES_DESCRIPTION	Ouryay antspay, myyay iegelay?
ITEM_REAPER_LEGGINGS_NAME	Eaperray Eggingslay
ITEM_REAPER_LEGGINGS_DESCRIPTION	
ITEM_WITCHWIZARD_GARTERBELT_NAME	Itchwizardway Arterbeltgay
ITEM_WITCHWIZARD_GARTERBELT_DESCRIPTION	
ITEM_SLIMECRUST_LEGGINGS_NAME	Imecrustslay Eggingslay
ITEM_SLIMECRUST_LEGGINGS_DESCRIPTION	Encheddray inyay imeslay.
ITEM_BERSERKER_LEGGINGS_NAME	Erserkerbay Eggingslay
ITEM_BERSERKER_LEGGINGS_DESCRIPTION	
ITEM_FUGUEFALL_PANTS_NAME	Uguefallfay Antspay
ITEM_FUGUEFALL_PANTS_DESCRIPTION	
ITEM_MAGILORD_BOOTS_NAME	Agilordmay Ootsbay
ITEM_MAGILORD_BOOTS_DESCRIPTION	Eepskay ethay oestay armway.
ITEM_GHOSTLY_LEGWRAPS_NAME	Ostlyghay Egwrapslay
ITEM_GHOSTLY_LEGWRAPS_DESCRIPTION	Earingway esethay akemay ouryay egslay eelfay umbnay.
ITEM_JOURNEYMAN_SHORTS_NAME	Ourneymanjay Ortsshay
ITEM_JOURNEYMAN_SHORTS_DESCRIPTION	
ITEM_SLIMEK_LEGGINGS_NAME	Imekslay Eggingslay
ITEM_SLIMEK_LEGGINGS_DESCRIPTION	Encheddray inyay Imekslay imeslay.
ITEM_JOURNEYMAN_LEGGINGS_NAME	Ourneymanjay Eggingslay
ITEM_JOURNEYMAN_LEGGINGS_DESCRIPTION	
ITEM_WOODEN_SHIELD_NAME	Oodenway Ieldshay
ITEM_WOODEN_SHIELD_DESCRIPTION	
ITEM_IRIS_SHIELD_NAME	Irisyay Ieldshay
ITEM_IRIS_SHIELD_DESCRIPTION	Invokeryay ofyay arcaneyay earstay.
ITEM_OMEN_SHIELD_NAME	Omenyay Ieldshay
ITEM_OMEN_SHIELD_DESCRIPTION	Omething'ssay intimidatingyay aboutyay ethay esignday.
ITEM_NETHERCRYPT_SHIELD_NAME	Ethercryptnay Ieldshay
ITEM_NETHERCRYPT_SHIELD_DESCRIPTION	Emblemyay ofyay ethay istedtway ethernay ealmray.
ITEM_MITHRIL_SHIELD_NAME	Ithrilmay Ieldshay
ITEM_MITHRIL_SHIELD_DESCRIPTION	
ITEM_RUSTWEARY_SHIELD_NAME	Ustwearyray Ieldshay
ITEM_RUSTWEARY_SHIELD_DESCRIPTION	Ethay acefay isyay orriedway.
ITEM_RUSTWISE_SHIELD_NAME	Ustwiseray Ieldshay
ITEM_RUSTWISE_SHIELD_DESCRIPTION	Ethay acefay isyay onfidentcay.
ITEM_CRYPT_BUCKLER_NAME	Cryptyay Ucklerbay
ITEM_CRYPT_BUCKLER_DESCRIPTION	Usedyay byyay ancientyay arriorsway ofyay ethay astpay.
ITEM_DEMICRYPT_BUCKLER_NAME	Emicryptday Ucklerbay
ITEM_DEMICRYPT_BUCKLER_DESCRIPTION	Anyay emblemyay ofyay anyay ancientyay arcophogussay.
ITEM_IRON_SHIELD_NAME	Ironyay Ieldshay
ITEM_IRON_SHIELD_DESCRIPTION	
ITEM_OLD_RING_NAME	Oldyay Ingray
ITEM_OLD_RING_DESCRIPTION	
ITEM_RING_OF_AMBITION_NAME	Ingray Ofyay Ambitionyay
ITEM_RING_OF_AMBITION_DESCRIPTION	Omethingsay ikesstray ouyay aboutyay isthay ingray.
ITEM_TEST_RING_NAME	Esttay Ingray
ITEM_TEST_RING_DESCRIPTION	Ityay asway onceyay ossiblepay otay etgay isthay. Ifyay ouyay avehay ityay, ouyay ust'vemay eenbay aroundyay orfay ayay ilewhay...
ITEM_GEISTLORD_RING_NAME	Eistlordgay Ingray
ITEM_GEISTLORD_RING_DESCRIPTION	Isperswhay ofyay Uulneruda'szay emoriesmay echoyay andyay everberateray insideyay ouryay oulsay.
ITEM_STUDENTS_RING_NAME	Udentsstay Ingray
ITEM_STUDENTS_RING_DESCRIPTION	Excelsioryay!
ITEM_PEARLPOND_RING_NAME	Earlpondpay Ingray
ITEM_PEARLPOND_RING_DESCRIPTION	Ethay earlspay imechay, ovidingpray ayay eacepay ofyay indmay andyay arityclay.
ITEM_SLITHERWRAITH_RING_NAME	Itherwraithslay Ingray
ITEM_SLITHERWRAITH_RING_DESCRIPTION	Itherslay oughthray andyay astpay ethay oorsday.
ITEM_ORBOS_RING_NAME	Orbosyay Ingray
ITEM_ORBOS_RING_DESCRIPTION	
ITEM_JADETROUT_RING_NAME	Adetroutjay Ingray
ITEM_JADETROUT_RING_DESCRIPTION	Ethay ailtay ofyay ethay ishfay onyay isthay ingray ovesmay apidlyray.
ITEM_VALOR_RING_NAME	Alorvay Ingray
ITEM_VALOR_RING_DESCRIPTION	
ITEM_GEISTLORD_BAND_NAME	Eistlordgay Andbay
ITEM_GEISTLORD_BAND_DESCRIPTION	Isperswhay ofyay Aluuz'skay emoriesmay echoyay andyay everberateray insideyay ouryay oulsay.
ITEM_EARTHWOKEN_RING_NAME	Earthwokenyay Ingray
ITEM_EARTHWOKEN_RING_DESCRIPTION	Ethay emsgay immerglay uchmay ikelay ethay emsgay ofyay ayay Olossuscay.
ITEM_AMBERSQUIRE_RING_NAME	Ambersquireyay Ingray
ITEM_AMBERSQUIRE_RING_DESCRIPTION	Oughtay asyay ailsnay.
ITEM_EMERALDFOCUS_RING_NAME	Emeraldfocusyay Ingray
ITEM_EMERALDFOCUS_RING_DESCRIPTION	Ethay emeraldyay istensglay evenyay omfray afaryay.
ITEM_SAPPHIREWEAVE_RING_NAME	Apphireweavesay Ingray
ITEM_SAPPHIREWEAVE_RING_DESCRIPTION	Oundssay ofyay ethay oceanyay avesway oughthray ouryay earsyay.
ITEM_WOOD_DAGGERS_NAME	Oodway Aggersday
ITEM_WOOD_DAGGERS_DESCRIPTION	
ITEM_RUNIC_KATARS_NAME	Unicray Atarskay
ITEM_RUNIC_KATARS_DESCRIPTION	Orgedfay byyay ayay adisticsay eingbay ofyay orturetay.
ITEM_GEISTLORD_CLAWS_NAME	Eistlordgay Awsclay
ITEM_GEISTLORD_CLAWS_DESCRIPTION	Edsshray oughthray ethay ailingway oulssay.
ITEM_HELLSLUDGE_SHIVS_NAME	Ellsludgehay Ivsshay
ITEM_HELLSLUDGE_SHIVS_DESCRIPTION	Othay, othay, othay otay ethay ouchtay!
ITEM_MITHRIL_KATARS_NAME	Ithrilmay Atarskay
ITEM_MITHRIL_KATARS_DESCRIPTION	
ITEM_SERRATED_KNUCKLES_NAME	Erratedsay Ucklesknay
ITEM_SERRATED_KNUCKLES_DESCRIPTION	
ITEM_FROSTBITE_CLAWS_NAME	Ostbitefray Awsclay
ITEM_FROSTBITE_CLAWS_DESCRIPTION	Oldcay otay ethay ouchtay...
ITEM_GOLEMFIST_KATARS_NAME	Olemfistgay Atarskay
ITEM_GOLEMFIST_KATARS_DESCRIPTION	Owpay!
ITEM_SLIMECRUST_KATARS_NAME	Imecrustslay Atarskay
ITEM_SLIMECRUST_KATARS_DESCRIPTION	Ironyay Atarskay atthay avehay eenbay ulledday byyay imeslay.
ITEM_SLIMEK_SHIVS_NAME	Imekslay Ivsshay
ITEM_SLIMEK_SHIVS_DESCRIPTION	Esethay earsyay ofyay ayay Imekslay eemsay otay ebay usableyay orfay ombatcay...
ITEM_DEATHGEL_SHIVS_NAME	Eathgelday Ivsshay
ITEM_DEATHGEL_SHIVS_DESCRIPTION	Ottedray, eadlyday Eathgelday earsyay.
ITEM_IRON_KATARS_NAME	Ironyay Atarskay
ITEM_IRON_KATARS_DESCRIPTION	
ITEM_WOODEN_BOW_NAME	Oodenway Owbay
ITEM_WOODEN_BOW_DESCRIPTION	
ITEM_MENACE_BOW_NAME	Enacemay Owbay
ITEM_MENACE_BOW_DESCRIPTION	Ouyay eelfay ayay urgesay ofyay iftnesssway oldinghay isthay owbay.
ITEM_PETRIFIED_BOW_NAME	Etrifiedpay Owbay
ITEM_PETRIFIED_BOW_DESCRIPTION	Ostlay oulssay ofyay ethay amnedday areyay eldedway otay isthay owbay.
ITEM_NECROROYAL_BOW_NAME	Ecroroyalnay Owbay
ITEM_NECROROYAL_BOW_DESCRIPTION	
ITEM_MITHRIL_BOW_NAME	Ithrilmay Owbay
ITEM_MITHRIL_BOW_DESCRIPTION	
ITEM_SERRATED_LONGBOW_NAME	Erratedsay Ongbowlay
ITEM_SERRATED_LONGBOW_DESCRIPTION	Arpshay andyay istedtway. Iresfay arrowsyay atthay iercepay.
ITEM_COLDGEIST_BOW_NAME	Oldgeistcay Owbay
ITEM_COLDGEIST_BOW_DESCRIPTION	Uinationray ofyay ethay ostlay ozenfray oulssay.
ITEM_CRYPT_BOW_NAME	Cryptyay Owbay
ITEM_CRYPT_BOW_DESCRIPTION	Ue-likeglay ootsay eepskay ethay onesbay ogethertay.
ITEM_DEMICRYPT_BOW_NAME	Emicryptday Owbay
ITEM_DEMICRYPT_BOW_DESCRIPTION	Ethay onesbay oldinghay isthay owbay ogethertay eemsay eshfray.
ITEM_IRON_BOW_NAME	Ironyay Owbay
ITEM_IRON_BOW_DESCRIPTION	
ITEM_MEKSPIKE_BOW_NAME	Ekspikemay Owbay
ITEM_MEKSPIKE_BOW_DESCRIPTION	Ethay onstructcay ofyay isthay owbay isyay imilarsay ofyay ayay Ekboarmay.
ITEM_WOOD_SWORD_NAME	Oodway Ordsway
ITEM_WOOD_SWORD_DESCRIPTION	
ITEM_DAWN_MACE_NAME	Awnday Acemay
ITEM_DAWN_MACE_DESCRIPTION	Ubbedclay otay eathday.
ITEM_RUDE_BLADE_NAME	Uderay Adeblay
ITEM_RUDE_BLADE_DESCRIPTION	On'tday ouyay avehay anythingyay etterbay otay illkay?
ITEM_VILE_BLADE_NAME	Ilevay Adeblay
ITEM_VILE_BLADE_DESCRIPTION	Ayay Uderay Adeblay, utbay oremay... ilevay.
ITEM_NETHERCRYPT_BLADE_NAME	Ethercryptnay Adeblay
ITEM_NETHERCRYPT_BLADE_DESCRIPTION	Istedtway, infusedyay ithway ethernay agicmay.
ITEM_MITHRIL_SWORD_NAME	Ithrilmay Ordsway
ITEM_MITHRIL_SWORD_DESCRIPTION	
ITEM_SERRATED_BLADE_NAME	Erratedsay Adeblay
ITEM_SERRATED_BLADE_DESCRIPTION	
ITEM_COLDGEIST_BLADE_NAME	Oldgeistcay Adeblay
ITEM_COLDGEIST_BLADE_DESCRIPTION	Orgedfay omfray orruptedcay ostfray, ormallyfay usedyay byyay ancientyay agessay.
ITEM_SLIMECRUST_BLADE_NAME	Imecrustslay Adeblay
ITEM_SLIMECRUST_BLADE_DESCRIPTION	Ookslay otay ebay anyay Ironyay Ordsway, utbay ethay adeblay isyay intenselyyay ulledday byyay imeslay.
ITEM_CRYPT_BLADE_NAME	Cryptyay Adeblay
ITEM_CRYPT_BLADE_DESCRIPTION	Ethay arpedshay adeblay asway ayay onebay ofyay ayay admanmay.
ITEM_GILDED_SWORD_NAME	Ildedgay Ordsway
ITEM_GILDED_SWORD_DESCRIPTION	Ookslay otay avehay ayay ornway outyay adeblay, utbay illstay arpshay enoughyay orfay ityay otay oday omesay amageday.
ITEM_IRON_SWORD_NAME	Ironyay Ordsway
ITEM_IRON_SWORD_DESCRIPTION	
ITEM_DEMICRYPT_BLADE_NAME	Emicryptday Adeblay
ITEM_DEMICRYPT_BLADE_DESCRIPTION	Isperswhay ofyay ethay eadday areyay ealedsay inyay isthay ordsway.
ITEM_WOOD_HAMMER_NAME	Oodway Ammerhay
ITEM_WOOD_HAMMER_DESCRIPTION	
ITEM_CRYPT_POUNDER_NAME	Cryptyay Ounderpay
ITEM_CRYPT_POUNDER_DESCRIPTION	Ademay ithway ethay onesbay ofyay innerssay.
ITEM_STONE_GREATBLADE_NAME	Onestay Eatbladegray
ITEM_STONE_GREATBLADE_DESCRIPTION	
ITEM_POLTERGEIST_SCYTHE_NAME	Oltergeistpay Escythay
ITEM_POLTERGEIST_SCYTHE_DESCRIPTION	Ethay ighesthay iertay ofyay ayay Eist'sgay escythay.
ITEM_MITHRIL_GREATSWORD_NAME	Ithrilmay Eatswordgray
ITEM_MITHRIL_GREATSWORD_DESCRIPTION	
ITEM_DEADWOOD_AXE_NAME	Eadwoodday Axeyay
ITEM_DEADWOOD_AXE_DESCRIPTION	Isthay asway edgedway eepday intoyay ayay Eadwoodday. Originsyay ofyay ethay ausecay isyay ayay erymystay.
ITEM_COLDGEIST_PUNISHER_NAME	Oldgeistcay Unisherpay
ITEM_COLDGEIST_PUNISHER_DESCRIPTION	Ethay adeblay ofyay ethay axeyay isyay oreverfay igidfray.
ITEM_QUAKE_PUMMELER_NAME	Uakeqay Ummelerpay
ITEM_QUAKE_PUMMELER_DESCRIPTION	Ashsmay emthay allyay intoyay oblivionyay.
ITEM_MINI_GEIST_SCYTHE_NAME	Inimay Eistgay Escythay
ITEM_MINI_GEIST_SCYTHE_DESCRIPTION	Ethay onlyyay estbay iendfray ofyay ayay Inimay Eistgay. Ethay adeblay emanatesyay enacinglymay.
ITEM_SLIMEK_AXEHAMMER_NAME	Imekslay Axehammeryay
ITEM_SLIMEK_AXEHAMMER_DESCRIPTION	Anyay Ironyay Axehammeryay at'sthay eensay etterbay aysday. It'syay ayay ittlelay itbay ofyay ayay allengechay otay aintainmay ayay ipgray onyay isthay ingthay.
ITEM_IRON_AXEHAMMER_NAME	Ironyay Axehammeryay
ITEM_IRON_AXEHAMMER_DESCRIPTION	
ITEM_GEIST_SCYTHE_NAME	Eistgay Escythay
ITEM_GEIST_SCYTHE_DESCRIPTION	Ethay oulssay ofyay ethay amnedday esonateray ithinway ethay adeblay.
ITEM_MEKSPEAR_NAME	Ekspearmay
ITEM_MEKSPEAR_DESCRIPTION	Ayay usableyay artisanpay ithway ayay Ekboar'smay earspay attachedyay otay ityay.
ITEM_SINNER_BARDICHE_NAME	Innersay Ardichebay
ITEM_SINNER_BARDICHE_DESCRIPTION	Oodblay ofyay ethay innerssay oatcay isthay eaponway.
ITEM_NECROROYAL_HALBERD_NAME	Ecroroyalnay Alberdhay
ITEM_NECROROYAL_HALBERD_DESCRIPTION	Usedyay byyay ethay oyalray uardgay ofyay ethay undeadyay.
ITEM_MITHRIL_HALBERD_NAME	Ithrilmay Alberdhay
ITEM_MITHRIL_HALBERD_DESCRIPTION	
ITEM_RAGESPEAR_NAME	Agespearray
ITEM_RAGESPEAR_DESCRIPTION	Ethay iptay ofyay ethay earspay ookslay oodyblay, utbay ityay appearsyay otay ebay ayay orrosivecay aterialmay.
ITEM_SERRATED_SPEAR_NAME	Erratedsay Earspay
ITEM_SERRATED_SPEAR_DESCRIPTION	
ITEM_WOOD_SPEAR_NAME	Oodway Earspay
ITEM_WOOD_SPEAR_DESCRIPTION	
ITEM_IRON_SPEAR_NAME	Ironyay Earspay
ITEM_IRON_SPEAR_DESCRIPTION	
ITEM_CRYPTSINGE_HALBERD_NAME	Ingecryptsay Alberdhay
ITEM_CRYPTSINGE_HALBERD_DESCRIPTION	Okepay andyay odpray ethay undeadyay intoyay ubmissionsay.
ITEM_WOOD_SCEPTER_NAME	Oodway Epterscay
ITEM_WOOD_SCEPTER_DESCRIPTION	
ITEM_CRYO_CANE_NAME	Ocryay Anecay
ITEM_CRYO_CANE_DESCRIPTION	Etlay emthay eezefray.
ITEM_SLIME_DIVA_BATON_NAME	Imeslay Ivaday Atonbay
ITEM_SLIME_DIVA_BATON_DESCRIPTION	Onlyyay ayay Imeslay Ivaday ancay ulytray aximizemay ethay ullfay otentialpay ofyay isthay Epterscay.
ITEM_PYRE_CANE_NAME	Epyray Anecay
ITEM_PYRE_CANE_DESCRIPTION	Etlay emthay urnbay.
ITEM_WIZWAND_NAME	Izwandway
ITEM_WIZWAND_DESCRIPTION	Electrifyingyay.
ITEM_NETHERCRYPT_BAUBLE_NAME	Ethercryptnay Aublebay
ITEM_NETHERCRYPT_BAUBLE_DESCRIPTION	It'syay ardhay otay omprehendcay owhay erribletay ethay alformedmay ullskay isyay.
ITEM_MITHRIL_SCEPTER_NAME	Ithrilmay Epterscay
ITEM_MITHRIL_SCEPTER_DESCRIPTION	
ITEM_AQUAPETAL_STAFF_NAME	Aquapetalyay Affstay
ITEM_AQUAPETAL_STAFF_DESCRIPTION	
ITEM_FLAMEPETAL_STAFF_NAME	Amepetalflay Affstay
ITEM_FLAMEPETAL_STAFF_DESCRIPTION	
ITEM_SPLITBARK_SCEPTER_NAME	Itbarksplay Epterscay
ITEM_SPLITBARK_SCEPTER_DESCRIPTION	Armthway eminatesyay omfray ethay ightbray itewhay emsgay.
ITEM_MARROW_BAUBLE_NAME	Arrowmay Aublebay
ITEM_MARROW_BAUBLE_DESCRIPTION	O'swhay ullskay isyay isthay?
ITEM_IRON_SCEPTER_NAME	Ironyay Epterscay
ITEM_IRON_SCEPTER_DESCRIPTION	
ITEM_DEMICRYPT_BAUBLE_NAME	Emicryptday Aublebay
ITEM_DEMICRYPT_BAUBLE_DESCRIPTION	Ethay ullskay oesn'tday eemsay ealray.
ITEM_CRYPTCALL_BELL_NAME	Allcryptcay Ellbay
ITEM_CRYPTCALL_BELL_DESCRIPTION	Ethay ellbay ollstay orfay ethay eadday.
ITEM_MITHRIL_BELL_NAME	Ithrilmay Ellbay
ITEM_MITHRIL_BELL_DESCRIPTION	
ITEM_COLDGEIST_FROSTCALLER_NAME	Oldgeistcay Ostcallerfray
ITEM_COLDGEIST_FROSTCALLER_DESCRIPTION	Usedyay otay awakenyay Eistlordsgay ithway itsyay inespay illingchay onetay.
ITEM_COLOSSUS_TONE_NAME	Olossuscay Onetay
ITEM_COLOSSUS_TONE_DESCRIPTION	Iecespay ofyay ayay Olossuscay areyay embeddedyay intoyay isthay ellbay.
ITEM_WOODEN_BELL_NAME	Oodenway Ellbay
ITEM_WOODEN_BELL_DESCRIPTION	Ethay eaponway isyay ademay ofyay oodway, utbay ityay imeschay asyay ifyay it'syay etalmay.
ITEM_IRON_BELL_NAME	Ironyay Ellbay
ITEM_IRON_BELL_DESCRIPTION	
ITEM_TOME_OF_THE_BANDIT_NAME	Ometay ofyay ethay Anditbay
ITEM_TOME_OF_THE_BANDIT_DESCRIPTION	<color=lime>Ancay onlyyay ebay usedyay inyay ayay Afesay Onezay.</color>\n \nEadingray isthay ometay eachestay ouyay otay ebay ethay <color=lime>imblenay Anditbay assclay.</color> Additionallyyay esetsray andyay eimbursesray ouryay Illskay Ointspay. Otnay eversibleray. 
ITEM_TOME_OF_THE_FIGHTER_NAME	Ometay ofyay ethay Ighterfay
ITEM_TOME_OF_THE_FIGHTER_DESCRIPTION	<color=lime>Ancay onlyyay ebay usedyay inyay ayay Afesay Onezay.</color>\n \nEadingray isthay ometay eachestay ouyay otay ebay ethay <color=red>iercefay Ighterfay assclay.</color> Additionallyyay esetsray andyay eimbursesray ouryay Illskay Ointspay. Otnay eversibleray.
ITEM_TOME_OF_THE_MYSTIC_NAME	Ometay ofyay ethay Icmystay
ITEM_TOME_OF_THE_MYSTIC_DESCRIPTION	<color=lime>Ancay onlyyay ebay usedyay inyay ayay Afesay Onezay.</color>\n \nEadingray isthay ometay eachestay ouyay otay ebay ethay <color=cyan>iseway Icmystay assclay.</color> Additionallyyay esetsray andyay eimbursesray ouryay Illskay Ointspay. Otnay eversibleray.
ITEM_BLUE_DYE_NAME	Ueblay Edyay
